pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,dist_meters,wait_sec,pDayofWeek,pYear,pMonth,pHour,avg_speed,pdate,holiday,weekend
-78.4981710622663,-0.0992107054556665,-78.4860431522278,-0.10610602436282301,766.0,3642.0,307.0,0.0,2016.0,9.0,4.0,17.0,2016-09-19,0,0
-78.48773057452959,-0.206846163025611,-78.48190312,-0.19214071999998897,676.0,2229.0,373.0,0.0,2016.0,9.0,5.0,12.0,2016-09-19,0,0
-78.50497461239941,-0.177025267671583,-78.4952275953271,-0.147104041962625,662.0,6423.0,97.0,0.0,2016.0,9.0,5.0,35.0,2016-09-19,0,0
-78.51466939912909,-0.25997823820495697,-78.533425,-0.24450005999998603,19955.0,2993.0,2.0,0.0,2016.0,9.0,12.0,1.0,2016-09-19,0,0
-78.48185365276059,-0.192142482733582,-78.49765052,-0.26206344000002,2243.0,16476.0,443.0,0.0,2016.0,9.0,5.0,26.0,2016-09-19,0,0
-78.53318853602251,-0.24413499676125303,-78.52365236,-0.251909099999999,334.0,1800.0,86.0,0.0,2016.0,9.0,5.0,19.0,2016-09-19,0,0
-78.5048197122307,-0.176805594396106,-78.5008872130783,-0.18923814671869799,883.0,2931.0,415.0,0.0,2016.0,9.0,5.0,12.0,2016-09-19,0,0
-78.49991,-0.161333300000013,-78.498187330956,-0.16068213873595003,85.0,207.0,48.0,0.0,2016.0,9.0,6.0,9.0,2016-09-19,0,0
-78.4730485215123,-0.0830961141158063,-78.485918544,-0.15359327599999803,1161.0,9378.0,293.0,0.0,2016.0,9.0,6.0,29.0,2016-09-19,0,0
-78.49925748,-0.200409520000006,-78.50997453283529,-0.20990830816709,627.0,2457.0,208.0,0.0,2016.0,9.0,6.0,14.0,2016-09-19,0,0
-78.5080552170425,-0.21203953622393304,-78.49659978927609,-0.21883056900988698,474.0,2523.0,136.0,0.0,2016.0,9.0,6.0,19.0,2016-09-19,0,0
-78.4758502574075,-0.16203674335640303,-78.49790552610459,-0.129165459822177,2034.0,7343.0,1104.0,0.0,2016.0,9.0,6.0,13.0,2016-09-19,0,0
-78.4854204298995,-0.20243295164335798,-78.49248263924349,-0.19373010078176997,331.0,1665.0,152.0,0.0,2016.0,9.0,6.0,18.0,2016-09-19,0,0
-78.5048082004913,-0.17679234849990397,-78.4879119669361,-0.189659442487407,659.0,4080.0,160.0,0.0,2016.0,9.0,7.0,22.0,2016-09-19,0,0
-78.5048436393068,-0.176992971976013,-78.5120260497394,-0.223267868421822,1455.0,7791.0,463.0,0.0,2016.0,9.0,7.0,19.0,2016-09-19,0,0
-78.4904798542937,-0.184207085367533,-78.49029632873321,-0.159315884870366,718.0,2827.0,16.0,0.0,2016.0,9.0,7.0,14.0,2016-09-19,0,0
-78.49654368,-0.176038719999984,-78.48931942,-0.17236910000000302,319.0,1313.0,191.0,0.0,2016.0,9.0,7.0,15.0,2016-09-19,0,0
-78.48922488,-0.172397040000019,-78.48038360931059,-0.17850020357974697,360.0,1844.0,133.0,0.0,2016.0,9.0,8.0,18.0,2016-09-19,0,0
-78.500485,-0.11729329999998199,-78.49168832,-0.12289265999999599,480.0,1682.0,217.0,0.0,2016.0,9.0,8.0,13.0,2016-09-19,0,0
-78.46703118303999,-0.123324278567489,-78.48402167383179,-0.19537382897197303,1353.0,9995.0,435.0,0.0,2016.0,9.0,8.0,27.0,2016-09-19,0,0
-78.48028755028609,-0.17812130844655602,-78.46288811345559,-0.0776928404608531,1896.0,14240.0,559.0,0.0,2016.0,9.0,8.0,27.0,2016-09-19,0,0
-78.5045138,-0.23251494,-78.51100944,-0.27497138000001003,837.0,9031.0,59.0,0.0,2016.0,9.0,9.0,39.0,2016-09-19,0,0
-78.54389204,-0.25805102000000196,-78.55672882132049,-0.25616044591406195,3784.0,1561.0,3564.0,0.0,2016.0,9.0,11.0,1.0,2016-09-19,0,0
-78.4765376115474,-0.129240633933314,-78.46466082,-0.144043280000015,716.0,3152.0,231.0,1.0,2016.0,9.0,5.0,16.0,2016-09-13,0,0
-78.49550009525521,-0.197311870651085,-78.490404474494,-0.190624997319814,142.0,1038.0,10.0,1.0,2016.0,9.0,7.0,26.0,2016-09-20,0,0
-78.4987306820963,-0.189995098240242,-78.5001899131865,-0.212811637640956,476.0,3267.0,83.0,1.0,2016.0,9.0,8.0,25.0,2016-09-20,0,0
-78.49835104600001,-0.128389406000015,-78.4882924272598,-0.15790010181170003,611.0,3885.0,147.0,1.0,2016.0,9.0,8.0,23.0,2016-09-20,0,0
-78.4664785890964,-0.138721449616235,-78.4600606132427,-0.151805125364556,490.0,4721.0,22.0,1.0,2016.0,9.0,8.0,35.0,2016-09-20,0,0
-78.4969766208749,-0.204024979542545,-78.48318456656979,-0.20360025789699202,921.0,3137.0,433.0,1.0,2016.0,9.0,8.0,12.0,2016-09-20,0,0
-78.46400264664241,-0.153187655130485,-78.46681480269541,-0.160067819353493,281.0,913.0,154.0,1.0,2016.0,9.0,8.0,12.0,2016-09-20,0,0
-78.4766327370826,-0.154584685588764,-78.47523599661021,-0.15445856440680403,6088.0,158.0,24.0,1.0,2016.0,9.0,7.0,0.0,2016-09-20,0,0
-78.4819682037912,-0.201657888750779,-78.45944709722241,-0.162651541408981,1061.0,6080.0,369.0,1.0,2016.0,9.0,8.0,21.0,2016-09-20,0,0
-78.50480989432421,-0.176899171794091,-78.4853761206235,-0.17049712922069002,1038.0,5193.0,314.0,1.0,2016.0,9.0,8.0,18.0,2016-09-20,0,0
-78.478792333656,-0.18326927610527602,-78.47556568,-0.18191534000001397,83.0,469.0,25.0,1.0,2016.0,9.0,10.0,20.0,2016-09-20,0,0
-78.503812503671,-0.21141506304146598,-78.483526819697,-0.16189896515151997,1772.0,8180.0,831.0,1.0,2016.0,9.0,10.0,17.0,2016-09-20,0,0
-78.5051447351046,-0.17718006984713897,-78.4703571246551,-0.170964113448283,1399.0,6924.0,524.0,1.0,2016.0,9.0,10.0,18.0,2016-09-20,0,0
-78.4975062,-0.19188413999999698,-78.493164596496,-0.194655020215629,249.0,911.0,94.0,1.0,2016.0,9.0,11.0,13.0,2016-09-20,0,0
-78.505702851699,-0.180926889402079,-78.48322882,-0.13108408000001198,1243.0,9652.0,397.0,0.0,2016.0,9.0,3.0,28.0,2016-09-19,0,0
-78.4993640429815,-0.200818162459225,-78.49736271206899,-0.207739760344818,245.0,966.0,120.0,1.0,2016.0,9.0,11.0,14.0,2016-09-20,0,0
-78.5049533647915,-0.17706261055337302,-78.48902083317591,-0.12164139340967098,1649.0,6549.0,1270.0,1.0,2016.0,9.0,11.0,14.0,2016-09-20,0,0
-78.47527860771758,-0.0828413331736061,-78.493899444,-0.121638080000002,897.0,5290.0,331.0,1.0,2016.0,9.0,11.0,21.0,2016-09-20,0,0
-78.5031325060345,-0.214060227586191,-78.50251709268291,-0.20511074146341604,530.0,1193.0,314.0,1.0,2016.0,9.0,11.0,8.0,2016-09-20,0,0
-78.5037461917896,-0.203196309991659,-78.5100757173808,-0.214366644413773,346.0,1702.0,93.0,1.0,2016.0,9.0,11.0,18.0,2016-09-20,0,0
-78.5099691404181,-0.143238982514646,-78.50598240822559,-0.14311286082995497,63.0,452.0,22.0,1.0,2016.0,9.0,11.0,26.0,2016-09-20,0,0
-78.5422343570953,-0.28582613663573,-78.54229050000001,-0.2857148200000039,535.0,2842.0,181.0,1.0,2016.0,9.0,11.0,19.0,2016-09-20,0,0
-78.4945487457011,-0.19105615363934397,-78.49154234,-0.19017026000001397,3317.0,520.0,450.0,1.0,2016.0,9.0,11.0,1.0,2016-09-20,0,0
-78.50927432753109,-0.21519439502664997,-78.5070993344657,-0.22891288189531897,492.0,1975.0,160.0,1.0,2016.0,9.0,11.0,14.0,2016-09-20,0,0
-78.50593406223591,-0.18120764198053896,-78.49091072595,-0.18822845339195396,675.0,2372.0,325.0,1.0,2016.0,9.0,12.0,13.0,2016-09-20,0,0
-78.47527860771758,-0.0828413331736061,-78.493899444,-0.121638080000002,897.0,5290.0,331.0,1.0,2016.0,9.0,11.0,21.0,2016-09-20,0,0
-78.49387035845359,-0.13409834596621,-78.4937672315789,-0.12464554962406,442.0,1063.0,320.0,1.0,2016.0,9.0,12.0,9.0,2016-09-20,0,0
-78.53961725549871,-0.259769743760193,-78.54474304,-0.284673740000002,997.0,4648.0,444.0,1.0,2016.0,9.0,12.0,17.0,2016-09-20,0,0
-78.4994548213499,-0.145751534495238,-78.50970229999999,-0.14316308,4074.0,22496.0,1330.0,1.0,2016.0,9.0,12.0,20.0,2016-09-20,0,0
-78.4867226832044,-0.162774405523284,-78.4893673622599,-0.171079072211931,3568.0,981.0,2561.0,1.0,2016.0,9.0,12.0,1.0,2016-09-20,0,0
-78.49105308449191,-0.25471273762411806,-78.5373304625,-0.27226564750002696,1692.0,10083.0,422.0,1.0,2016.0,9.0,8.0,21.0,2016-09-20,0,0
-78.5233687080112,-0.24322794539202697,-78.50732446236559,-0.242794148387089,1109.0,4425.0,469.0,1.0,2016.0,9.0,1.0,14.0,2016-09-20,0,0
-78.5185011366455,-0.24627635416567198,-78.50767726240599,-0.24112688721804101,382.0,1949.0,90.0,1.0,2016.0,9.0,1.0,18.0,2016-09-20,0,0
-78.4846662558585,-0.19731229730426503,-78.4844410796178,-0.197081624626447,107.0,61.0,47.0,1.0,2016.0,9.0,1.0,2.0,2016-09-20,0,0
-78.543675304235,-0.28515189633078497,-78.5487839,-0.27540580000000203,878.0,3129.0,389.0,1.0,2016.0,9.0,1.0,13.0,2016-09-20,0,0
-78.4848373589346,-0.19644597881364398,-78.4987139354599,-0.20004938783382603,516.0,2089.0,234.0,1.0,2016.0,9.0,1.0,15.0,2016-09-20,0,0
-78.49866337170741,-0.26369274000001697,-78.54476290000001,-0.33323902000001504,1599.0,18362.0,182.0,1.0,2016.0,9.0,1.0,41.0,2016-09-20,0,0
-78.50506682508441,-0.17710609200379898,-78.49119329999999,-0.189511700000012,1111.0,4610.0,361.0,1.0,2016.0,9.0,2.0,15.0,2016-09-20,0,0
-78.4652974356164,-0.15866063150686402,-78.485614556,-0.12652711200001399,2332.0,6576.0,1411.0,1.0,2016.0,9.0,1.0,10.0,2016-09-20,0,0
-78.5033705948929,-0.145230344766832,-78.4808229214286,-0.15307652959184803,675.0,3294.0,34.0,1.0,2016.0,9.0,2.0,18.0,2016-09-20,0,0
-78.4840952901765,-0.19556383810452901,-78.4872642597561,-0.188230863773322,79039.0,891.0,95.0,0.0,2016.0,9.0,4.0,0.0,2016-09-19,0,0
-78.54475237532141,-0.3331839620298,-78.49928978,-0.262015660000006,1689.0,18953.0,333.0,1.0,2016.0,9.0,2.0,40.0,2016-09-20,0,0
